Kuerzel	Name	Beschreibung	Dauer	Kosten	Ziel	Zeit	Ziel	Probe1	Probe2	Probe3
SPELL_132	Ignorantia	Das Ziel ignoriert den Zauberer und seine Handlungen. Dadurch kann dieser unbemerkt an seinem Opfer vorbeilaufen oder vor seinen Augen einen Diebstahl begehen. Interagiert der Zaubernde während der Wirkungsdauer mit dem Opfer oder greift er dieses an, endet der Zauber sofort. Achtet das Ziel explizit auf eine Sache, etwa eine Tür oder einen Gegenstand, bemerkt es alle diesbezüglichen Veränderungen, jedoch ohne die Quelle der Veränderung ausmachen zu können. So bemerkt es z. B. das Öffnen oder Schließen einer bewachten Tür, vermag aber nicht zu sagen, wer genau dafür verantwortlich war.	4 Aktionen	8 AsP	16 Schritt	QS Minuten	Kulturschaffende	IN	CH	GE
SPELL_133	Illusionsbann	Ein Zauber des Merkmals Illusion wird aufgehoben, wenn dessen QS nicht höher ist als die QS des Illusionsbanns. Der Bann entfaltet keine Wirkung gegen Zauber, deren Wirkung sofort eintritt. Auch gegen Zauber, deren Wirkung bereits vollendet ist oder permanent wirkende Sprüche hilft er nicht. Wird der Illusionsbann gegen einen Zauber der Zielkategorie Zone eingesetzt, genügt es, wenn sich ein Teil von dieser innerhalb der Reichweite befindet.	4 Aktionen	8 AsP bzw. 16 AsP für Zauber mit Zielkategorie Zone	8 Schritt	sofort	alle	KL	IN	CH
SPELL_134	Imperavi	Das Ziel befolgt einen einzigen Befehl des Zauberers, der seinem Selbsterhaltungstrieb nicht offensichtlich zuwiderläuft. Es wird also einen Diebstahl begehen, eine einzige Frage beantworten oder dem Zauberer in einem Kampf beistehen, nicht aber von einer Klippe springen oder seine eigenen Hände verspeisen.<br>	16 Aktionen	16 AsP	Berührung	QS x 3 Minuten	Kulturschaffende	MU	KL	CH
SPELL_135	Impersona	Der Zauberer kann sein Gesicht als ein beliebiges anderes erscheinen lassen. Soll es sich dabei um das Gesicht einer speziellen Person handeln, muss der Zauberer diese gut kennen oder während der Zauberdauer sehen können. Körper, Stimme und Kleidung sind nicht vom Zauber betroffen. Details zum Thema Illusionen finden sich im **Regelwerk** auf Seite **259**.	4 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro 10 Minuten	selbst	aufrechterhaltend	Kulturschaffende	IN	CH	FF
SPELL_136	Incendio	Der Incendio lässt das ausgewählte Lebewesen in Flammen aufgehen.	1 Aktion	8 AsP	16 Schritt	sofort	Lebewesen	KL	CH	KO
SPELL_137	Invercano	Wird der Zauberer Ziel eines Angriffszaubers, kann er diesen mittels Raufen oder seinem Traditionsartefakt auf seinen Gegner zurückwerfen. Hierzu ist eine Parade erforderlich, die um 4 Punkte erschwert ist. Gelingt diese, wird der Zauber auf den Anwender zurückgeworfen und erreicht sein neues Ziel zu Beginn der nächsten Kampfrunde.<br>	2 Aktionen	8 AsP	selbst	QS x 2 Kampfrunden	selbst	MU	IN	FF
SPELL_138	Karnifilo	Das Ziel erhält den Status *Blutrausch*.	4 Aktionen	16 AsP	8 Schritt	QS x 2 KR (statt der üblichen Zeit von 2W20 KR des Status’ Blutrausch)	Kulturschaffende	MU	IN	CH
SPELL_139	Kusch	Das verzauberte Tier wird von Angst vor dem Zauberer erfüllt. Die genauen Auswirkungen hängen von der QS ab:	1 Aktion	4 AsP	8 Schritt	QS x 3 Minuten	Tiere	MU	IN	CH
SPELL_140	Last des Alters	Das Ziel altert körperlich stark und wird zu einem Greis. Es wird jedoch nicht an Altersschwäche sterben und erhält am Ende der Wirkungsdauer sein ursprüngliches Alter zurück. Alle körperlichen Handlungen des Opfers sind aufgrund akuter Altersschwäche um QS/2 erschwert (z. B. Körpertalente, Handwerkstalente). Dies umfasst auch Kampfhandlungen und somit AT, PA, AW und FK.<br>	4 Aktionen	8 AsP	Berührung	QS x 3 Minuten	Kulturschaffende	IN	CH	KO
SPELL_141	Lunge des Leviatan	Während der Wirkungsdauer kann der Zauberer sprinten, ohne dass ihn dies erschöpft. Sein FW in *Körperbeherrschung (Laufen)* wird für die Wirkungsdauer verdoppelt. Bei Verfolgungsjagden gilt diese Verdopplung jedoch vor der Einberechnung der effektiven GS.	2 Aktionen	4 AsP	selbst	QS Kampfrunden	Lebewesen	MU	IN	KO
SPELL_142	Manus Illusionis	Mit diesem Illusionszauber ist die Täuschung des Tastsinnes möglich. Die Illusion muss dabei auf eine bereits vorhandene Oberfläche gelegt werden, da sie lediglich die Art des Fühlens ändert, jedoch nicht etwas Fassbares aus dem Nichts zu erschaffen vermag. Nur die Oberfläche fühlt sich anders an, nicht jedoch das gesamte Objekt. Details zum Thema Illusionen finden sich im **Regelwerk** auf Seite **259**.	4 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro 5 Minuten	8 Schritt	aufrechterhaltend	Zone (max. 3 x 3 Schritt)	KL	IN	CH
SPELL_143	Memorans	Durch den Zauberspruch kann sich der Zauberer alles einprägen, was er in den nächsten QS x 5 Minuten wahrnimmt, als besäße er ein fotografisches Gedächtnis. Dies kann ein Gespräch, gelesene Seiten, Wegstrecken, optische Eindrücke oder Gerüche umfassen.	4 Aktionen	4 AsP	8 Schritt	1 Jahr	Kulturschaffende (selbst)	KL	KL	IN
SPELL_144	Menetekel	Der Zauber ermöglicht es, illusionäre Schriftzüge erscheinen zu lassen. Alles, was der Zauberer sagt, erscheint an einer imaginären Wand von bis zu 10 Rechtschritt Fläche, die sich beliebig in Breite und Länge ausformen kann. Die Buchstaben können in beliebiger Größe und Anzahl dargestellt werden, gelten aber nicht als Sichthindernis. Details zum Thema Illusionen finden sich im **Regelwerk** auf Seite **259**.	4 Aktionen	2 AsP	8 Schritt	QS x 30 Minuten	Zone	KL	CH	FF
SPELL_145	Nuntiovolo	Der Zauberer beschwört eine Rauchgestalt in Form eines Vogels oder einer Fledermaus herauf, die ein maximal 250 Gramm wiegendes Objekt an einen vom Zauberer bestimmten Ort bringen kann. Die Entfernung zum Zielort darf höchstens 20 Meilen + 10 Meilen pro 1 AsP betragen. Sobald die Maximalentfernung überschritten wird, löst sich die Gestalt auf und lässt den Gegenstand fallen.<br>	8 Aktionen	8 AsP	4 Schritt	sofort	Dämonen	MU	KL	CH
SPELL_146	Objectobscuro	Das Zielobjekt wird innerhalb von 20 – (QS x 3) Kampfrunden unsichtbar. Während dieser Zeit wird es immer durchscheinender, bis es schließlich nicht mehr zu sehen ist. Objekte und Personen in oder hinter dem Objekt bleiben weiterhin sichtbar. Das verzauberte Objekt darf maximal 5 Stein wiegen.	4 Aktionen	8 AsP (Aktivierung des Zaubers) + 4 AsP pro 5 Minuten	Berührung	aufrechterhaltend	Objekte	KL	FF	KO
SPELL_147	Objectofixo	Das Zielobjekt wird am Boden befestigt und kann nur mit einer um die QS x 2 erschwerten Probe auf *Kraftakt (Drücken & Verbiegen, Stemmen & Heben, Ziehen & Zerren)* davon getrennt werden. Ist dies einmal gelungen, endet der Zauber vorzeitig.<br>	2 Aktionen	4 AsP	Berührung	QS Minuten	Objekte	MU	KL	KK
SPELL_148	Objektbann	Ein Zauber des Merkmals Objekt wird aufgehoben, wenn dessen QS nicht höher als die QS des Objektbanns ist. Der Bann entfaltet keine Wirkung gegen Zauber, deren Wirkung sofort eintritt (z. B. einmaliger Schaden). Auch gegen Zauber, deren Wirkung bereits vollendet ist, oder permanent wirkende Sprüche hilft er nicht. Wird der Objektbann gegen einen Zauber der Zielkategorie Zone eingesetzt, genügt es, wenn sich ein Teil von dieser innerhalb der Reichweite befindet.	4 Aktionen	8 AsP bzw. 16 AsP für Zauber mit Zielkategorie Zone	8 Schritt	sofort	alle	KL	IN	FF
SPELL_149	Oculus Astralis	Die normale Sicht des Zauberers wird um eine astrale Wahrnehmung ergänzt. Sie ist nicht detailreich genug, um magische Analysen vorzunehmen, der Zauberer kann jedoch mittels magischer Unsichtbarkeit verborgene Dinge oder Personen erkennen. Auch die Orientierung an magisch durchdrungenen Orten, beispielsweise dem Limbus, ist dank dieser Astralsicht erleichtert oder überhaupt erst möglich.<br>	2 Aktionen	8 AsP	selbst	QS x 3 Minuten	Wesen	KL	IN	CH
SPELL_150	Orcanofaxius	Aus den Fingern des Zaubernden schießt ein Luftstrahl, der in gerader Linie sein Ziel trifft. Der Magier muss keine zusätzliche Aktion aufwenden, um nach dem Wirken des Zaubers zu treffen. Das Treffen ist in der Zauberdauer inbegriffen. Das getroffene Ziel erleidet 2W6 + (QS x 2) Trefferpunkte Schaden. Der Luftstrahl zählt als Fernkampfangriff mit einer Schusswaffe und kann entsprechend geblockt werden, und auch ein Ausweichen ist möglich. An Schilden erzeugt er Strukturschaden, wenn er auf sie trifft. Der Strahl trifft automatisch, wenn man sich nicht verteidigt. Trifft der Luftstrahl sein Ziel, werden die TP durch den RS des Ziels vermindert. Das Ziel wird zudem bei 1-3 auf 1W6 umgestoßen und erhält den Status *Liegend*.	2 Aktionen	8 AsP	16 Schritt	sofort	alle	MU	KL	CH
SPELL_151	Orcanosphaero	Aus den Händen des Zaubernden schießt ein Sturmball, der in gerader Linie sein Ziel trifft. Das Treffen ist in der Zauberdauer inbegriffen, der Magier muss also keine zusätzliche Aktion aufwenden.<br>	4 Aktionen	32 AsP	32 Schritt	sofort	Zone	MU	KL	KO
SPELL_152	Pentagramma	Ein niederer Dämon wird gebannt, wenn der Zauberer mehr QS erzielt, als die Anrufungsschwierigkeit beträgt (Anrufungsschwierigkeiten von 0 oder höher zählen als 0). Es kann sich dabei sowohl um einen beschworenen als auch um einen freien Dämon handeln. Ebenso ist es möglich, Dämonen zu bannen, die an Objekte oder Wesen gebunden bzw. in diese eingefahren sind.<br>	8 Aktionen	16 AsP	8 Schritt	sofort	Dämonen	MU	KL	CH
SPELL_153	Physiostablis	Mittels dieses Zauberspruchs wird kurzfristig die Widerstandskraft gegen körperliche Beeinflussungen gestärkt. Die Zähigkeit des Verzauberten verbessert sich um QS/2.	8 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro 10 Minuten	Berührung	aufrechterhaltend	Lebewesen	KL	IN	FF
SPELL_154	Plumbumbarum	Das Ziel erleidet einen Abzug in Höhe der QS des Zaubers auf seine AT.	2 Aktionen	8 AsP	8 Schritt	5 Kampfrunden	Kulturschaffende	MU	CH	GE
SPELL_155	Projectimago	Der Zauberer projiziert ein optisches Ebenbild seiner selbst an einen gewünschten Ort (inklusive Kleidung und Gegenständen, die er am Körper trägt). Für die dortigen Beobachter sieht es so aus, als stünde eine reale Person vor ihnen, die alle Handlungen vollzieht, die der Zauberer durch Bewegung vorgibt. Dreht er sich also im Kreis und springt in die Luft, wird die Projektion das Gleiche tun. Der Ort der Erscheinung darf maximal 5 Meilen + 1 Meile pro vom Zauberer zusätzlich freiwillig investierten AsP entfernt sein, und dieser muss ihn schon einmal aufgesucht haben oder ihn sehen können. Eine Übertragung der Sinne findet nicht statt, der Zauberer kann also im Normalfall nur vermuten, wie die Reaktionen am Zielort ausfallen. Details zum Thema Illusionen finden sich im **Regelwerk** auf Seite **259**.	8 Aktionen	8 AsP + 1 AsP pro zusätzlicher Meile	selbst	QS x 3 Minuten	Kulturschaffende	MU	IN	CH
SPELL_156	Reflectimago	Der Zauberer überzieht die glatte Fläche eines Objekts mit einer maximal 2 Rechtschritt messenden spiegelnden Oberfläche. Dabei handelt es sich jedoch nicht um einen echten Spiegel, sondern eine Illusion, man kann das Objekt also nicht dazu verwenden, um z. B. Sonnenstrahlen zu bündeln oder jemanden zu blenden. Details zum Thema Illusionen finden sich im **Regelwerk** auf Seite **259**.	4 Aktionen	2 AsP	4 Schritt	QS x 3 Minuten	Objekte	KL	CH	FF
SPELL_157	Regeneratio	Der Zauberer regeneriert jede Kampfrunde LeP in Höhe der QS/2. Maximal kann der Zauberspruch FW Kampfrunden aufrechterhalten werden.	4 Aktionen	4 AsP (Aktivierung des Zaubers) + 2 AsP pro KR	selbst	aufrechterhaltend	Lebewesen	IN	CH	KO
SPELL_158	Sapefacta	Innerhalb eines Radius von QS Schritt um den Zauberer werden Lebewesen und ihre am Körper getragene Kleidung von jeglichem Schmutz befreit. Dies kann durch Verschmutzung verursachte Erschwernisse bei Gesellschaftstalenten, beispielsweise bei *Etikette (Benehmen)* oder *Betören (Aufhübschen)*, nach Meisterentscheid reduzieren.<br>	4 Aktionen	4 AsP	selbst	sofort	Kulturschaffende	KL	CH	FF
SPELL_159	Schmerzen lindern	Je nach QS können mit diesem Zauberspruch Stufen von *Schmerz *diceAmountblicklich abgebaut werden. Die Wirkung ist nicht kumulativ, es gelten jeweils die Auswirkungen der höchsten QS.	4 Aktionen	8 AsP	Berührung	sofort	Kulturschaffende	MU	IN	CH
SPELL_160	Schwarz und Rot	Das Ziel verliert am Ende jeder Stunde LeP in Höhe der QS.	2 Aktionen	16 AsP	Berührung	8 Stunden	Kulturschaffende	MU	CH	KO
SPELL_161	Schwarzer Schrecken	Das Ziel erhält 1 Stufe des Zustands *Furcht*, der sich gegen alles richtet, was Schwarz ist.	4 Aktionen	4 AsP	8 Schritt	QS Stunden	Kulturschaffende	MU	IN	CH
SPELL_162	Skelettarius	Der Zauberer erhebt die körperlichen Überreste eines verstorbenen Wesens kurzfristig zum Untoten. Er kann mit dem Zauberspruch einfache Mumien, Skelette und Zombies erwecken, jeweils maximal bis zur Größenkategorie mittel.<br>	2 Aktionen	8 AsP	8 Schritt	QS x 2 Kampfrunden	Kulturschaffende (Verstorbene)	MU	KL	CH
SPELL_163	Solidirid	Von den Füßen des Zauberers ausgehend erscheint eine Brücke aus mattem Licht. Ihre maximale Länge beträgt QS x 5 Schritt, die maximale Breite 1 Schritt. Sie ist entweder waagerecht oder leicht gewölbt, muss aber an keiner Stelle den Boden berühren. Wird sie auf ihrer gesamten Fläche mit einem höheren Gewicht als 500 Stein belastet, bricht sie zusammen und der Zauber endet vorzeitig. Das Gleiche geschieht, wenn sie mit Waffengewalt zerstört wird, wobei sie insgesamt 50 Strukturpunkte aufweist.	4 Aktionen	8 AsP	selbst	QS x 3 Minuten	Zone	MU	IN	KO
SPELL_164	Taubheit	Das Ziel kann nichts mehr hören und erhält dadurch den Status *Taub*.	4 Aktionen	4 AsP	8 Schritt	QS x 5 Minuten	Kulturschaffende	KL	IN	CH
SPELL_165	Telekinesebann	Ein Zauber des Merkmals Telekinese wird aufgehoben, wenn dessen QS nicht höher ist als die QS des Bewegungsbanns. Der Bann entfaltet keine Wirkung gegen Zauber, deren Wirkung sofort eintritt. Auch gegen Zauber, deren Wirkung bereits vollendet ist, oder permanent wirkende Sprüche hilft er nicht. Wird der Telekinesebann gegen einen Zauber der Zielkategorie Zone eingesetzt, genügt es, wenn sich ein Teil von dieser innerhalb der Reichweite befindet.	4 Aktionen	8 AsP bzw. 16 AsP für Zauber mit Zielkategorie Zone	8 Schritt	sofort	alle	KL	IN	FF
SPELL_166	Tiergedanken	Der Zaubernde kann in den Gedanken und Erinnerungen eines Tieres lesen. Dabei erhält er Zugriff auf Erinnerungen, die maximal QS Tage zurückliegen dürfen. Je nach Intelligenz, Erinnerungsvermögen und Lebenswandel des Tieres wird er z. B. bei einem Goldfisch nur wenig erfahren, bei einem Affen hingegen verhältnismäßig viel. Um die Gedankenwelt des Tieres zu verstehen, ist eine Probe auf *Tierkunde* erforderlich. Der Meister kann je nach erreichter QS der *Tierkunde*-Probe detaillierter berichten, was der Zaubernde gesehen und richtig interpretiert hat.	4 Aktionen	4 AsP (Aktivierung des Zaubers), + 2 AsP pro 30 Sekunden	4 Schritt	aufrechterhaltend	Tiere	MU	IN	CH
SPELL_167	Verwandlungsbann	Ein Zauber des Merkmals Verwandlung wird aufgehoben, solange dessen QS nicht höher ist als die QS des Verwandlungsbanns. Der Bann entfaltet keine Wirkung gegen Zauber, deren Wirkung sofort eintritt. Auch gegen Zauber, deren Wirkung bereits vollendet ist oder permanent wirkende Sprüche hilft er nicht. Wird der Verwandlungsbann gegen einen Zauber der Zielkategorie Zone eingesetzt, genügt es, wenn sich ein Teil von dieser innerhalb der Reichweite befindet.	4 Aktionen	8 AsP bzw. 16 AsP für Zauber mit Zielkategorie Zone	8 Schritt	sofort	alle	KL	CH	FF
SPELL_168	Vogelzwitschern	Innerhalb von QS x 2 Schritt um sich herum kann der Zauberer jedes beliebige Geräusch durch ein anderes ersetzen. Die Lautstärke bleibt dabei jedoch unverändert. Eine Stimme kann so etwa deutlich höher oder das Auftreten mit dem Fuß wie leiser Donner oder Fanfarenschall klingen. Details zum Thema Illusionen finden sich im **Regelwerk** auf Seite **259**.	2 Aktionen	4 AsP	selbst	QS x 3 Minuten	Zone	MU	IN	GE
SPELL_169	Wolfstatze	Der Zauberer verwandelt sich in ein Landtier seiner Wahl, das jedoch weder fliegen, noch im Wasser leben darf (also keine Vögel, Fische usw.) und maximal die Größenkategorie klein aufweist. Während der Wirkungsdauer verwendet der Zauberer die körperlichen Werte des Tieres, einschließlich seiner Eigenschaften, Talente und Kampfwerte. Eine niedrige LE wird bei der Verwandlung anteilsmäßig angerechnet, gleiches geschieht bei der Rückverwandlung. Die geistigen Werte des Zauberers bleiben ebenso wie sein Bewusstsein erhalten.<br>	8 Aktionen	8 AsP (Aktivierung des Zaubers) + 4 AsP pro Stunde	selbst	aufrechterhaltend	Kulturschaffende	MU	IN	GE
SPELL_170	Caldofrigo	Mittels Caldofrigo kann die Temperatur eines maximal truhengroßen Objekts verändert werden. Es kann abgekühlt oder erwärmt werden und zwar in einem Spielraum von +/–100 Grad Celsius der Ausgangstemperatur. Der Zauberer muss hierzu die gewünschte Gradzahl festlegen und kann nicht beliebig während der Wirkungsdauer die Temperatur ändern. Die Temperaturveränderung funktioniert außerdem immer nur in eine Richtung. Sollte ein Held mit einem Gegenstand in Berührung kommen, der extrem heiß ist (oder kalt dabei einfach analog dieselben Regeln verwenden), gelten die Regeln für *brennende* Personen (siehe **Regelwerk** Seite **341**).<br>	5 Minuten	4 AsP	4 Schritt	QS x 2 Minuten	Objekt (profane Objekte bis zur Größe einer Truhe)	IN	CH	KO
SPELL_171	Nihilogravo	Der Zauberspruch sorgt für eine zylinderförmige Zone, in der die Schwerkraft aufgehoben ist. Der Zauberer muss einen Punkt innerhalb der Reichweite des Zauberspruchs benennen. Von dort aus wirkt der Zauber in einem Radius von QS in Schritt. Die Höhe der schwerelosen Zone beträgt QS x 5 Schritt.<br>	5 Minuten	16 AsP	8 Schritt	QS x 5 Minuten	Zone	KL	IN	KO
SPELL_172	Accuratum	Ein Satz Kleidung wird nach Wünschen des Zauberers abgeändert. Dies betrifft Schnitt und Farbe, nicht jedoch Menge und Art des Materials. Auf diesem Wege sind sowohl das simple Flicken zerrissener Hosen wie auch die Umwandlung eines Stoffballens oder einer schlichten Kutte in eine deutlich prächtigere Robe möglich. Die Kleidung kann nach Meisterentscheid Erschwernisse bei Gesellschaftstalenten ausgleichen, beispielsweise bei *Etikette (Benehmen)* oder *Betören (Aufhübschen)*.	5 Minuten	4 AsP	Berührung	QS x 3 Stunden	Objekte	KL	CH	FF
SPELL_173	Hagelschlag und Sturmgebrüll	Der Zauberer erschafft um sich herum eine Zone von QS x 50 Schritt Radius, innerhalb der er Bewölkung, Niederschlag und Windgeschwindigkeit um insgesamt QS Stufen senken oder anheben kann. Mit einer QS von 5 ist es beispielsweise möglich, die Windgeschwindigkeit um 2 Stufen zu verändern und den Niederschlag um 3. Bei Temperaturen unter dem Gefrierpunkt fällt der Niederschlag als Schnee oder Hagel zu Boden. Die Stufe des Niederschlags darf die Stufe der Bewölkung nicht überschreiten.	5 Minuten	32 AsP	selbst	QS Stunden	Zone	MU	CH	KO
SPELL_174	Hartes schmelze	Das Ritual raubt einem Objekt seine Festigkeit und macht einen harten Gegenstand weich und formbar. Dies erlaubt sowohl künstlerische Gestaltungen, ermöglicht aber auch das Erschaffen von Löchern oder das Abtrennen einzelner Teile.<br>	30 Minuten	2/4/8/16 AsP für einen Gegenstand von der Größe einer Tasse/Truhe/Tür/Burgtor	4 Schritt	QS x 2 Minuten	Objekt (profane Objekte bis zur Größe einer Truhe)	MU	IN	KO
SPELL_175	Leidensbund	Der Zauberer kann den erlittenen LeP-Verlust von einer anderen Person auf sich selbst übertragen. Dadurch werden die Wunden des Ziels geheilt und entstehen dafür beim Zaubernden. Maximal können auf diesem Wege QS x 3 verlorene LeP übertragen werden, wobei sich der Zauberer auch für weniger entscheiden kann. Auch ist keine Übertragung möglich, die beim Zauberer zu einem LeP-Stand führen würde, der bei 0 oder darunter liegt. Die Wirkung des Zaubers setzt erst nach Ende der Ritualdauer ein, es ist daher mit diesem Ritual nicht möglich, Sterbende von der Schwelle des Todes zu retten.	5 Minuten	4 AsP	Berührung	sofort	Kulturschaffende	MU	IN	KO
SPELL_176	Magischer Raub	Während der Wirkungsdauer kann der Zauberer auf die AsP des Ziels zugreifen. Das Opfer kann sich nach Ende der Zauberdauer beliebig weit vom Zauberer entfernt haben. Die Verbindung endet nur dann automatisch, wenn das Opfer sich nicht mehr in der gleichen Sphäre wie der Zauberer aufhält.<br>	30 Minuten	4 AsP	Berührung	QS x 30 Minuten	Kulturschaffende	MU	KL	KO
SPELL_177	Memorabia Falsifir	Der Zauberer entfernt Erinnerungen aus dem Gedächtnis des Ziels. Dabei kann er jedoch keine bestimmte Erinnerung festlegen, sondern lediglich einen Zeitraum von maximal QS x 3 Tagen ab einem von ihm gewünschten Anfangszeitpunkt.	2 Stunden	8 AsP	Berührung	1 Jahr	Kulturschaffende	KL	IN	CH
SPELL_178	Movimento	Während der Wirkungsdauer kann sich der Zauberer beliebig lange im Dauerlauf fortbewegen, ohne dass ihn dies erschöpft. Die Reisestrecke erhöht sich um QS x 10 % für eine Tagesleistung Fußmarsch (siehe **Strategische Bewegung** im **Regelwerk** auf Seite **248**).	5 Minuten	4 AsP	selbst	8 Stunden	Kulturschaffende	MU	IN	KO
SPELL_179	Ruhe Körper	Die während der nächsten Regenerationsphase zurückgewonnenen LeP erhöhen sich um die doppelte QS. Zudem verläuft der Schlaf ruhig und traumlos, solange äußere Einflüsse dem nicht entgegenwirken. Der Zauber kann nicht verhindern, dass Gifte und Krankheiten in der Regenerationsphase wirken.	5 Minuten	4 AsP	Berührung	sofort	Lebewesen	KL	CH	KO
SPELL_180	Unberührt von Satinav	Ein maximal 5 Stein wiegendes Objekt ist während der Wirkungsdauer vor Verfall geschützt. Die Zeit kann ihm nichts anhaben und es wird also weder verrotten, verrosten noch verfallen. Dies gilt auch in widrigen Umgebungen, etwa überdurchschnittlich feuchten oder heißen Gegenden. Vor gewaltsamen Einflüssen wie Waffenschaden, Feuer oder Säure bietet die Verzauberung jedoch keinen Schutz.	30 Minuten	16 AsP	Berührung	QS x 3 Wochen	Objekte	KL	IN	FF
SPELL_181	Widerwille	Personen mit SK 2 oder schlechter ignorieren ein vom Zauberer bestimmtes Objekt, selbst wenn es sich direkt vor ihnen befindet. Kommt es zu einer Interaktion mit dem Opfer, etwa wenn dieses mit einem bislang ignorierten Schwert angegriffen wird, endet die Wirkung jedoch. Ein einfaches Berühren oder Ertasten reicht hierfür aber nicht aus. Der Zauberer selbst nimmt das Objekt immer wahr, auch wenn der Zauber wirkt.<br>	30 Minuten	8 AsP	16 Schritt	QS Stunden	Objekte	KL	CH	GE
SPELL_182	Wirbelform	Innerhalb eines Radius von QS Schritt vermag der Zauberer, alle Materie des Elements Luft zu verformen, solange sie nicht Teil eines Wesens ist (etwa eines Luftdschinns). Auf diesem Weg kann z.B. eine Wolkenformation erschaffen werden. Der Prozess geht dabei nur langsam vonstatten. Soll die Luft in eine bestimmte Richtung geformt werden, dauert dies 1 KR pro Schritt Fortbewegung. Am Ende der Wirkungsdauer ist das Verformte wieder den normalen Gesetzen der Natur ausgeliefert.	5 Minuten	16 AsP	selbst	QS x 10 Minuten	Zone	KL	FF	KK
SPELL_183	Xenographus	Liest der Zauberer einen Text, erhält er ein Gefühl für die Bedeutung des Niedergelegten, selbst wenn er die Schrift oder Sprache nicht beherrscht. Damit ist es ihm möglich, jeden Text zu verstehen, jedoch lediglich auf dem Niveau einer Person, die die entsprechende Sprache auf Stufe II beherrscht.<br>	5 Minuten	8 AsP	selbst	QS x 5 Minuten	Lebewesen	MU	KL	IN
SPELL_234	Affenarme	Die Hände und Füße der Hexe bekommen einen sehr guten Halt und so viel Kraft, um damit besser Klettern zu können. Die Hexe erhält QS/2 Erleichterung für Proben auf *Klettern (Baumklettern, Bergsteigen* oder *Fassadenklettern)* und *Körperbeherrschung (Balance)*. Um die Erleichterung nutzen zu können, muss die Hexe barfuß sein, darf keine Handschuhe tragen und auch sonst nichts in den Händen halten (wohl aber weiterhin so etwas wie einen Ring am Finger tragen), ansonsten kommt keine Erleichterung zum Tragen.	2 Aktionen	4 AsP	selbst	10 Minuten	Kulturschaffende	MU	KL	CH
SPELL_235	Affenruf	Die Hexe ruft mit diesem Zauberspruch bis zu QS x 2 Äffchen herbei, die für sie kämpfen. Es erscheinen maximal so viele Äffchen, wie die Anzahl der Gegner der Hexe beträgt. Die Hexe muss einen Punkt am Boden innerhalb der Reichweite bestimmen, an dem die Tiere dann in einem Radius von QS/2 Schritt erscheinen. Die Hexe kann gezielt Gegner benennen, welche von den Äffchen angegriffen werden. Sie kann jedoch nicht mehrere Tiere auf einen Gegner hetzen. Nach ihrem Erscheinen können die Äffchen sich beliebig weit vom Ort ihrer Herbeirufung wegbewegen. Wenn ein Gegner stirbt, verschwinden die Äffchen nicht, sondern die Hexe kann sie einzeln einem anderen Ziel zuordnen (aber nur ein Äffchen pro Gegner). Die Äffchen sind magische Wesen, die aus Magie erschaffen wurden. Endet die Wirkungsdauer, verschwinden die Äffchen wieder im Nichts.	4 Aktionen	16 AsP	8 Schritt	bis zum Tod der Tiere, maximal jedoch 20 KR	Zone	MU	CH	CH
SPELL_236	Arachnea	Alle innerhalb von 1 Meile befindlichen Insekten, Käfer und Spinnen der Größenkategorie winzig werden vom Zauberer angezogen und bewegen sich in seine Richtung. Betroffen sind davon nur solche Wesen, die KL (t) statt KL verwenden und deren SK die QS/2 nicht überschreitet. Zudem verlieren die Wesen nicht ihren Selbsterhaltungstrieb, werden sich also beispielsweise nicht durch Feuer bewegen, das den Pfad zum Zauberer versperrt. Sobald sie beim Zauberer angekommen sind, verbleiben sie in seiner unmittelbaren Nähe und folgen ihm, falls er sich fortbewegt. Der Zauber erlaubt dabei keinerlei Kontrolle über die herbeigeeilten Wesen, es ist also gut möglich, dass sie ihn oder auch die anderen eingetroffenen Wesen angreifen.	8 Aktionen	16 AsP	selbst	QS x 3 Stunden	Zone (50 Schritt mit dem Zauberer als beweglichen Mittelpunkt)	MU	IN	CH
SPELL_237	Attributo (Gewandheit)	Durch den Zauber wird das Ziel behänder und gewandter. Für jede QS bekommt der Verzauberte einen Bonus. Die Boni sind kumulativ, das heißt, bei QS 3 hat der Träger insgesamt GE +2 und AW +1.	8 Aktionen	8 AsP (Aktivierung des Zaubers) + 4 AsP pro 10 Minuten	Berührung	aufrechterhaltend	Kulturschaffende	KL	IN	GE
SPELL_238	Attributo (Intuition)	Durch den Zauber wird das Ziel aufmerksamer und konzentrierter. Für jede QS bekommt der Verzauberte einen Bonus. Die Boni sind kumulativ, das heißt, bei QS 3 hat der Träger insgesamt IN +2 und PA +1.	8 Aktionen	8 AsP (Aktivierung des Zaubers) + 4 AsP pro 10 Minuten	Berührung	aufrechterhaltend	Kulturschaffende	KL	IN	IN
SPELL_239	Attributo (Mut)	Durch den Zauber wird das Ziel mutiger und entscheidungsfreudiger. Für jede QS bekommt der Verzauberte einen Bonus. Die Boni sind kumulativ, das heißt, bei QS 3 hat der Träger insgesamt MU +2 und AT +1.	8 Aktionen	8 AsP (Aktivierung des Zaubers) + 4 AsP pro 10 Minuten	Berührung	aufrechterhaltend	Kulturschaffende	KL	KL	IN
